# Direct brain oscillations (no synthetic overlay)
t,motor,sensory,thalamus,cerebellum,parietal,pfc,limbic,hippocampus,insula,basal_ganglia,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10
247,1.949832797050476,-0.05296574905514717,-0.002602899679914117,0.5,-0.21491587162017822,13.749876022338867,0.3744308054447174,0.0012182682985439897,0.0010000000474974513,-0.0038991346955299377,48.50082015991211,36.39479446411133,34.163002014160156,13.138617515563965,-7.53281307220459,22.67106819152832,-33.880775451660156,-41.68558883666992,-18.508028030395508,-45.75263214111328
248,0.9587069749832153,-0.05297020822763443,-0.0025512904394418,0.5,-0.21269559860229492,14.037768363952637,0.7955904006958008,0.0012260794173926115,0.0010000000474974513,-0.003729503136128187,44.23643493652344,37.092037200927734,38.254608154296875,11.99633502960205,-5.93843412399292,26.84546661376953,-30.427215576171875,-46.034427642822266,-15.294270515441895,-46.340267181396484
249,1.4475950002670288,-0.05471081659197807,-0.002500703791156411,0.5,1.08137845993042,15.298409461975098,-0.5279737114906311,0.001197656849399209,0.0010000000474974513,-0.003703082911670208,54.271018981933594,40.36826705932617,37.31706619262695,11.673089027404785,-13.77875804901123,29.4615535736084,-40.135498046875,-53.69534683227539,-22.495344161987305,-55.27449035644531
250,1.946189284324646,-0.05296461284160614,-0.0024511204101145267,0.5,-0.21731051802635193,14.260432243347168,-0.666494607925415,0.001194009673781693,0.0010000000474974513,-0.0036714852321892977,50.719764709472656,38.45462417602539,41.04524230957031,8.88731861114502,-16.245990753173828,26.630226135253906,-36.832645416259766,-42.01587677001953,-21.93549346923828,-46.8604621887207
251,0.955204427242279,-0.052954547107219696,-0.0024025212042033672,0.5,-0.22414444386959076,14.591940879821777,0.680172860622406,0.0012240506475791335,0.0010000000474974513,-0.003511683316901326,48.3641242980957,35.95105743408203,37.42691421508789,10.695610046386719,-13.573369979858398,23.184499740600586,-34.13503646850586,-46.707786560058594,-25.899993896484375,-47.87696838378906
252,1.4547823667526245,-0.05470212548971176,-0.0023548852186650038,0.5,1.0742828845977783,9.955307006835938,0.5422101020812988,0.0012215151218697429,0.0010000000474974513,-0.0034877697471529245,37.64039993286133,29.46152114868164,28.70896339416504,5.814795970916748,-6.153934478759766,23.96108627319336,-32.40572738647461,-36.79657745361328,-17.364877700805664,-41.331153869628906
253,1.9424666166305542,-0.0529635064303875,-0.0023081935942173004,0.5,-0.21954892575740814,8.021265029907227,-0.7706823945045471,0.0011911792680621147,0.0010000000474974513,-0.0034571229480206966,26.940044403076172,19.284809112548828,21.387760162353516,4.9730634689331055,-6.573265552520752,14.8995361328125,-25.02695655822754,-28.567262649536133,-11.681512832641602,-39.78804397583008
254,0.951779305934906,-0.052938930690288544,-0.002262427704408765,0.5,-0.23543277382850647,7.7283124923706055,-0.37342628836631775,0.0012015711981803179,0.0010000000474974513,-0.003306593280285597,28.23937225341797,21.831254959106445,23.6815128326416,9.538658142089844,-1.0893526077270508,18.364900588989258,-21.915590286254883,-26.364952087402344,-13.531532287597656,-27.706050872802734
255,1.4619708061218262,-0.05469341203570366,-0.0022175698541104794,0.5,1.067298173904419,13.830944061279297,0.8725811839103699,0.001227386062964797,0.0010000000474974513,-0.0032849761191755533,36.56955337524414,31.240814208984375,32.147918701171875,7.931252956390381,-10.372819900512695,25.907556533813477,-30.309324264526367,-34.880802154541016,-14.264434814453125,-40.8184814453125
256,1.938665747642517,-0.052962422370910645,-0.0021736007183790207,0.5,-0.2216302901506424,9.909053802490234,0.19985069334506989,0.0012146978406235576,0.0010000000474974513,-0.0032552704215049744,40.564632415771484,23.797260284423828,26.253032684326172,11.137786865234375,-9.502063751220703,20.185726165771484,-33.71748352050781,-34.5772590637207,-13.414252281188965,-35.44489288330078
